layer	representation_type	strategy	split-type	r	p	fasttext-all-GS_r	in_freq_interval_225375_r	freq_lower_interval_1.5_r	freq_higher_interval_1.5_r	freq_lower_interval_1.75_r	freq_higher_interval_1.75_r	freq_lower_interval_2.25_r	freq_higher_interval_2.25_r	freq_lower_interval_2.5_r	freq_higher_interval_2.5_r	freq_lower_interval_2.75_r	freq_higher_interval_2.75_r	freq_lower_interval_3_r	freq_higher_interval_3_r	freq_lower_interval_3.25_r	freq_higher_interval_3.25_r	freq_lower_interval_3.5_r	freq_higher_interval_3.5_r	freq_lower_interval_3.75_r	freq_higher_interval_3.75_r	freq_lower_interval_4_r	freq_higher_interval_4_r	freq_lower_interval_4.25_r	freq_higher_interval_4.25_r	bothcomplete_flota_r	oneincomplete_flota_r
1	google#electra-base-discriminator-nocontext	avg-omitfirst	2-split	0.173155654276295	5.864941965166981e-151	0.197273614516713	0.184893326134571	0.223984407148321	0.157692469584771	0.219640608066566	0.162959354680104	0.196911139819502	0.172878232403152	0.190727552266136	0.228094361605711	0.184846596906004	0.27491854541129	0.185867956236843	0.367507755219706	0.187260654850322		0.187780708981202		0.187780708981202		0.187780708981202		0.187780708981202			
1	google#electra-base-discriminator-nocontext	avg-omitfirst	all	0.19930338579627	0.0	0.309327206034859	0.240166073887585	0.223984407148321	0.272389472842322	0.218714192475066	0.280916496374036	0.19505650093964	0.297832501907327	0.189098817720256	0.311220319758649	0.180740106697222	0.327544670628254	0.181195508519085	0.341288151763549	0.197493572530255	0.361306469015263	0.216505408714721	0.378330895308206	0.237202612189317	0.383346534608346	0.253256263899588	0.381543948683555	0.260908957163066	0.369754345699289		
8	google#electra-base-discriminator-nocontext	waverage	0-split	0.156324249891601	5.2724829334754695e-123	0.225736538909539	0.15560355295042		0.161110855018538		0.161110855018538		0.160893539704205	0.666736691000316	0.160428242529842	0.422939884731032	0.161229191233934	0.160387751063253	0.160467101037736	0.169184113357706	0.162452880233955	0.156930640546942	0.174700075878108	0.148760125820277	0.182305123711989	0.152489792124296	0.190958838299963	0.155852583390154	0.1984293238604		
8	google#electra-base-discriminator-nocontext	waverage	1-split	0.127195557197394	8.89102825826124e-82	0.139313349519809	0.148136492284816		0.148275293432682	-0.316227766016838	0.147436558022373	0.126240894238642	0.157712529585716	0.03320680742232	0.173637366427315	0.037336167799362	0.182868159971604	0.114548783577414	0.230262339974436	0.114671928600808	0.299408198326884	0.135015612770176	0.311343170690824	0.147015248372259	0.5	0.148637902605155		0.148822434152914			
8	google#electra-base-discriminator-nocontext	waverage	2-split	0.229808804831521	1.96958398163648e-267	0.25418120013409	0.240838378263471	0.286983085663841	0.223925426993991	0.276096081094414	0.227410204881562	0.253141580385479	0.2318259618441	0.252039920539886	0.238943038594497	0.250050215338115	0.270777735328913	0.248739769704071	0.210090924318349	0.249185065128148		0.249048479060631		0.249048479060631		0.249048479060631		0.249048479060631			
8	google#electra-base-discriminator-nocontext	waverage	all	0.148751261981135	0.0	0.216947254984074	0.143476784060493	0.286983085663841	0.155191024980515	0.275672304278593	0.153010425705093	0.249736241249452	0.154532508241607	0.242136638346157	0.155826090302251	0.228404178616883	0.159614608972699	0.202500622376582	0.161432651663052	0.187409180957651	0.163906809084521	0.177035731219636	0.175891706513049	0.170114382656303	0.182640187500503	0.169337493660857	0.190958838299963	0.169309444891614	0.1984293238604		
3	google#electra-base-discriminator-nocontext	longest	0-split	0.311148129683123	0.0	0.435463010360696	0.341160561305501		0.32447362582274		0.32447362582274		0.324069716567013	0.666736691000316	0.323024020475337	0.796804466381459	0.318792839225937	0.571619006484433	0.31380845308529	0.406808092190935	0.314492477634196	0.343841083035338	0.315351563002008	0.329878574167724	0.320232830774529	0.323998227655414	0.334254930878252	0.322075317930577	0.331133990847088		
3	google#electra-base-discriminator-nocontext	longest	1-split	0.130356823975482	7.84052958977832e-86	0.177997532718807	0.20575511698452		0.198779291639989	0.316227766016838	0.200281796903604	0.007035010185545	0.198839574554824	0.204304456720636	0.213821920023829	0.1261019935756	0.213953656663045	0.175930418706046	0.248562552457789	0.177191756341243	0.276430595055685	0.191994731844712	0.265959062405658	0.198115978035493	-0.5	0.199230987773264		0.19906516891793			
3	google#electra-base-discriminator-nocontext	longest	2-split	0.104276298794754	1.9662007195842e-55	0.124747545192291	0.120451195887614	0.111881189749421	0.114695672527603	0.120906108799391	0.117297923687408	0.118201760363128	0.10434214555769	0.118946309843118	0.134336794378571	0.115225295580769	0.225084272035733	0.114209997032293	0.344097047034376	0.115462859419018		0.116186697071796		0.116186697071796		0.116186697071796		0.116186697071796			
3	google#electra-base-discriminator-nocontext	longest	all	0.123848695048261	7.68995056045701e-229	0.156301021743039	0.188143719037092	0.111881189749421	0.20114874986836	0.121415374424175	0.215977256978195	0.117981334926409	0.238023261715504	0.12133371407319	0.257311637251778	0.115739939355162	0.278343754745764	0.125439945455831	0.29136885039052	0.125564737842657	0.305995196534528	0.124978499058308	0.315554975781766	0.132237265857993	0.320426793412333	0.14574646776337	0.334254930878252	0.155110942572343	0.331133990847088		
