layer	representation_type	strategy	split-type	r	p	fasttext-all-GS_r	in_freq_interval_225375_r	freq_lower_interval_1.5_r	freq_higher_interval_1.5_r	freq_lower_interval_1.75_r	freq_higher_interval_1.75_r	freq_lower_interval_2.25_r	freq_higher_interval_2.25_r	freq_lower_interval_2.5_r	freq_higher_interval_2.5_r	freq_lower_interval_2.75_r	freq_higher_interval_2.75_r	freq_lower_interval_3_r	freq_higher_interval_3_r	freq_lower_interval_3.25_r	freq_higher_interval_3.25_r	freq_lower_interval_3.5_r	freq_higher_interval_3.5_r	freq_lower_interval_3.75_r	freq_higher_interval_3.75_r	freq_lower_interval_4_r	freq_higher_interval_4_r	freq_lower_interval_4.25_r	freq_higher_interval_4.25_r	bothcomplete_flota_r	oneincomplete_flota_r
5	bert-flota-3	onesentence-avg	all	0.174427566803559	8.81960197946109E-103	0.338213841255787	0.272913592266707	0.346904625785485	0.213955887838458	0.31336257760554	0.216812878472276	0.278593875278903	0.220166557811314	0.275587326103113	0.220114978756026	0.26456722030538	0.22773890029171	0.257255652424879	0.223433620099991	0.258569629322738	0.229534427157092	0.263250308605912	0.237002668681681	0.265462087799137	0.258062482572955	0.258631191228217	0.269456645334911	0.2490230881298	0.277241252982761		
2	bert-flota-3	avg-omitlast	0-split	0.292240644982529	4.97924659784531E-99	0.515719265761148	0.282670687710348		0.303288602480206		0.303288602480206		0.303288602480206		0.303252748121489		0.304827312570732	-0.026431782180457	0.305564506908089	0.324573623949888	0.314652279267024	0.298947592116313	0.335528329932284	0.257463432586404	0.385161834041781	0.251611189020452	0.408568586333723	0.260116040082193	0.443711495198719		
2	bert-flota-3	avg-omitlast	1-split	0.122475802548588	3.59523577413424E-18	0.160876736835069	0.206524682460818		0.172147960352882		0.172147960352882		0.17212244177316	-0.035928787857398	0.185052849086217	-0.082538228962126	0.163302850692443	0.210822328015405	0.152887116403669	0.191688191465459	0.0555185721539	0.197449048792658	0.228276485706633	0.170413370755293	0.564288093646835	0.17028554816766		0.172147960352882			
2	bert-flota-3	avg-omitlast	2-split	0.122247019751722	4.15151773535188E-18	0.144790901795111	0.10149094854546	0.098728146407264	0.113474075701768	0.106133380658809	0.111876778309659	0.112353952905434	0.099625464675524	0.12978187994845	0.092412443252098	0.122412643551112	0.020738255480327	0.126900093780126	0.011350658498286	0.115492169718387	0.5	0.112818209180037		0.112555622720228		0.112555622720228		0.112555622720228			
2	bert-flota-3	avg-omitlast	all	0.172306930327159	2.62812488618295E-100	0.288848329500165	0.148220215806382	0.098728146407264	0.214866121167056	0.106133380658809	0.218409629387296	0.113967077819733	0.227262903362103	0.131926591660269	0.240134113760883	0.123233077308649	0.249249512935826	0.135319946724127	0.273481747354324	0.131422115376897	0.295927888056793	0.140452471514661	0.333014444221528	0.147124903165183	0.38547320505214	0.159656349713281	0.408568586333723	0.176040485168531	0.443711495198719		
3	bert-flota-3	waverage	0-split	0.283226369502723	7.06234228123466E-93	0.50573457113752	0.313908505906134		0.297664914597508		0.297664914597508		0.297664914597508		0.297630254042706		0.298877801160089	0.057268861390991	0.300884443364826	0.352590684570309	0.309842143212928	0.34305692619001	0.33208050965559	0.293122883572356	0.381316811757741	0.279834081261187	0.408812670398079	0.284139436252067	0.443924235982326		
3	bert-flota-3	waverage	1-split	0.19732745511519	4.47545349986485E-45	0.277486551707462	0.262220637976335		0.236258153766108		0.236258153766108		0.236625868966617	-0.119762626191326	0.251305431948085	-0.037974725869323	0.242518128668971	0.225770060403118	0.241922352862803	0.244583500273127	0.214769516558188	0.245639484926185	0.340512424512395	0.234435277466491	0.461690258438319	0.235348815893816		0.236258153766108			
3	bert-flota-3	waverage	2-split	0.217509336342041	1.29724114205714E-54	0.273425767295593	0.194875157777303	0.322227745508233	0.200015189305565	0.313635166666899	0.197272533637497	0.238180009443984	0.202847228440264	0.233617206688707	0.192888032499285	0.224154380946829	0.156894018382871	0.223119876158444	0.210007720201102	0.211528359381717	0.5	0.210745507933014		0.210543385025408		0.210543385025408		0.210543385025408			
3	bert-flota-3	waverage	all	0.222065853001297	5.88399436309721E-167	0.381996719029239	0.234115169297311	0.322227745508233	0.257652922595858	0.313635166666899	0.260508687571744	0.239824072439076	0.268756541919392	0.235362783510545	0.274594619864802	0.222645050638446	0.279687608794395	0.224539018306045	0.28996044615359	0.220445338484183	0.302531205755652	0.230431468574846	0.331471179854862	0.238153151178238	0.381699388420951	0.243582660060842	0.408812670398079	0.252250437257464	0.443924235982326		
7	bert-flota-3	longest	0-split	0.349904632967807	5.82193297043235E-144	0.492797742811737	0.390106563525859		0.36350867239888		0.36350867239888		0.36350867239888		0.363493299749759		0.364545777318	0.008810594060152	0.366611653261442	0.287906387302405	0.362728482869502	0.394314067267963	0.36790926709779	0.357940459685653	0.401693861194315	0.341382797973426	0.418653342088444	0.345477348460933	0.439795883530504		
