layer	representation_type	strategy	split-type	r	p	fasttext-all-GS_r	in_freq_interval_225375_r	freq_lower_interval_1.5_r	freq_higher_interval_1.5_r	freq_lower_interval_1.75_r	freq_higher_interval_1.75_r	freq_lower_interval_2.25_r	freq_higher_interval_2.25_r	freq_lower_interval_2.5_r	freq_higher_interval_2.5_r	freq_lower_interval_2.75_r	freq_higher_interval_2.75_r	freq_lower_interval_3_r	freq_higher_interval_3_r	freq_lower_interval_3.25_r	freq_higher_interval_3.25_r	freq_lower_interval_3.5_r	freq_higher_interval_3.5_r	freq_lower_interval_3.75_r	freq_higher_interval_3.75_r	freq_lower_interval_4_r	freq_higher_interval_4_r	freq_lower_interval_4.25_r	freq_higher_interval_4.25_r	bothcomplete_flota_r	oneincomplete_flota_r
1	xlnet-base-cased-nocontext	waverage	1-split	0.119552128276955	0.000117342569524	0.188913072947028	0.085063256117526		0.11881898131803		0.11881898131803		0.120594305432012	-0.6	0.094192623434253	0.131366208021781	0.054077405070379	0.420392456687587	0.125026821370819	0.134911183324441	0.205654010689317	0.047998439570962	0.137504371861864	0.123345442610319	0.112890482030869	0.11859439049253	0.298466429697499	0.122990154150251	0.740593181760111		
1	xlnet-base-cased-nocontext	waverage	2-split	0.175551430828352	1.78824999827031e-07	0.242546065446123	0.122670446569635	0.433603935289531	0.17531265837956	0.263126433565754	0.152277387319612	0.230374267319391	0.195095160534509	0.192561453403831	0.250719981259771	0.178407456528627	0.372160172494346	0.17409672436519	0.442988235640611	0.181524035403599	0.539512878421918	0.167156826536841	0.491596040125088	0.175212945151823		0.199255650424356		0.19443832592196			
1	xlnet-base-cased-nocontext	waverage	all	0.206759727749448	5.0835375082362796e-26	0.319279179933022	0.183855828073674	0.433603935289531	0.262378818898927	0.263126433565754	0.262530594019643	0.230374267319391	0.290348272662451	0.180679717811092	0.304234905661173	0.175885191363046	0.300303178976397	0.217611817451296	0.324543808602559	0.197473175900438	0.384843395586596	0.16874461799677	0.392492006800423	0.208309836531908	0.466760666132028	0.221001386752492	0.571706744800514	0.234310295393506	0.644637500147748		
0	xlnet-base-cased-nocontext	waverage	0-split	0.475211832613327	1.36762642848143e-37	0.741792330611173	0.674090819920443		0.472671356384768		0.472671356384768		0.472671356384768		0.472671356384768		0.464924002579362	-1.0	0.463000094270916	0.771957994770643	0.470277332747992	0.680825096724022	0.470816473233078	0.58171788154752	0.521023879782522	0.471538681830137	0.510555769596407	0.475500818857431	0.509769804717551		
0	xlnet-base-cased-nocontext	waverage	1-split	0.170903847851567	3.25819659234169e-08	0.325136613390083	0.167472511863152		0.220172659976785		0.220172659976785		0.216126333265202	0.3	0.196406329971005	0.296680986655932	0.162731347378188	0.444057383075047	0.143525734735776	0.371103911715806	0.199725419322053	0.220894503196528	0.131406558481159	0.246313966696269	-0.04970137424927	0.243791039360431	-0.480344410294413	0.237023495671375	-0.297939785765562		
0	xlnet-base-cased-nocontext	waverage	2-split	0.213049821811932	2.03046941569246e-10	0.26177055122849	0.152683876497298	0.356313012299786	0.198792735214914	0.331272901941432	0.219586195039353	0.273402568958524	0.185109456330042	0.250930805480199	0.232891409698199	0.222796759394222	0.313774279598148	0.212652292646906	0.235394573221763	0.234190361530545	0.320989251309164	0.218161527503283	0.474644452534567	0.214630698900879		0.224557760208932		0.2286857240034			
0	xlnet-base-cased-nocontext	waverage	all	0.250606450973788	8.11901578936105e-38	0.457862520421221	0.247155666967692	0.356313012299786	0.322301810645461	0.331272901941432	0.333555083144298	0.273402568958524	0.33384075118201	0.240677197556277	0.349018161098301	0.222055987838046	0.350459974314265	0.250837073851378	0.346695319959666	0.282426184506994	0.396877142121336	0.245548285151939	0.417386870505052	0.269295214508542	0.464912721802388	0.284610522523689	0.468392535365922	0.303911575432683	0.485401049472047		
1	xlnet-base-cased-nocontext	longest	0-split	0.484365782644585	3.44343662868287e-39	0.686122957958562	0.71523990058152		0.486070132166855		0.486070132166855		0.486070132166855		0.486070132166855		0.478691569362352	-1.0	0.468666962987827	0.778133658728809	0.464572501419212	0.722073488070151	0.438376853865569	0.617786394842944	0.500467544106629	0.474607863250246	0.561884729057525	0.462667887017567	0.588446580194337		
1	xlnet-base-cased-nocontext	longest	1-split	0.095050479958207	0.002226857456008	0.171719659843752	0.089243775371346		0.105585342277438		0.105585342277438		0.108586279574813	-0.2	0.082804437773194	0.293728937037465	0.034907560762437	0.43299561671769	0.090606772403417	0.159595679223105	0.15815038242639	0.062728771196094	0.034646666935822	0.137803396291025	0.049147083830133	0.11195281325146	0.0	0.113884045153023	0.331990046995912		
1	xlnet-base-cased-nocontext	longest	2-split	0.140821553651334	2.97126701569789e-05	0.150642732813306	0.120885723708397	0.30452039929739	0.136353936008674	0.217299751677842	0.125713646964073	0.163101638188653	0.226244891070052	0.126058945233166	0.265102874578454	0.125006900501492	0.322229166512265	0.123548344497291	0.48418228595442	0.118938359401996	0.572971041424828	0.123278704099347	0.474644452534567	0.134551900201949		0.160815064101895		0.155122400402836			
