	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
136	average	0-split-dev-SAME	9	lemma-characterbert	0.6666666666666666	113	40	64	95
137	average	0-split-dev-DIFF	9	lemma-characterbert	0.6227544910179641	30	45	18	74
138	average	1-split-bal	9	lemma-characterbert	0.6111111111111112	17	28	7	38
139	average	2-split-bal	9	lemma-characterbert	0.5927835051546392	52	45	34	63
140	average	0-split-dev	10	lemma-characterbert	0.6534446764091858	141	87	79	172
141	average	1-split-all	10	lemma-characterbert	0.5470085470085471	26	46	7	38
142	average	2-split-all	10	lemma-characterbert	0.6038251366120219	157	112	33	64
143	average	ALL	10	lemma-characterbert	0.6595779756017145	1859	1174	891	2142
144	average	SAME	10	lemma-characterbert	0.6748867639657775	1500	555	737	1182
145	average	DIFF	10	lemma-characterbert	0.6304971319311663	359	619	154	960
146	average	1-split-SAME	10	lemma-characterbert		[]	[]	[]	[]
147	average	1-split-DIFF	10	lemma-characterbert	0.5470085470085471	26	46	7	38
148	average	2-split-SAME	10	lemma-characterbert	0.6313868613138686	140	75	26	33
149	average	2-split-DIFF	10	lemma-characterbert	0.5217391304347826	17	37	7	31
150	average	0-split-dev-SAME	10	lemma-characterbert	0.6698717948717948	111	42	61	98
151	average	0-split-dev-DIFF	10	lemma-characterbert	0.6227544910179641	30	45	18	74
152	average	1-split-bal	10	lemma-characterbert	0.6	16	29	7	38
153	average	2-split-bal	10	lemma-characterbert	0.6082474226804123	54	43	33	64
154	average	0-split-dev	11	lemma-characterbert	0.6576200417536534	142	86	78	173
155	average	1-split-all	11	lemma-characterbert	0.5384615384615384	25	47	7	38
156	average	2-split-all	11	lemma-characterbert	0.6338797814207651	167	102	32	65
157	average	ALL	11	lemma-characterbert	0.664523574019123	1877	1156	879	2154
158	average	SAME	11	lemma-characterbert	0.6824358329139406	1523	532	730	1189
159	average	DIFF	11	lemma-characterbert	0.6304971319311663	354	624	149	965
160	average	1-split-SAME	11	lemma-characterbert		[]	[]	[]	[]
161	average	1-split-DIFF	11	lemma-characterbert	0.5384615384615384	25	47	7	38
162	average	2-split-SAME	11	lemma-characterbert	0.6715328467153284	150	65	25	34
163	average	2-split-DIFF	11	lemma-characterbert	0.5217391304347826	17	37	7	31
164	average	0-split-dev-SAME	11	lemma-characterbert	0.6762820512820513	113	40	61	98
165	average	0-split-dev-DIFF	11	lemma-characterbert	0.6227544910179641	29	46	17	75
166	average	1-split-bal	11	lemma-characterbert	0.6111111111111112	17	28	7	38
167	average	2-split-bal	11	lemma-characterbert	0.6443298969072165	60	37	32	65
168	average	0-split-dev	12	lemma-characterbert	0.6221294363256785	139	89	92	159
169	average	1-split-all	12	lemma-characterbert	0.5128205128205128	20	52	5	40
170	average	2-split-all	12	lemma-characterbert	0.6065573770491803	158	111	33	64
171	average	ALL	12	lemma-characterbert	0.6442466205077481	1877	1156	1002	2031
172	average	SAME	12	lemma-characterbert	0.6638147961751384	1558	497	839	1080
173	average	DIFF	12	lemma-characterbert	0.607074569789675	319	659	163	951
174	average	1-split-SAME	12	lemma-characterbert		[]	[]	[]	[]
175	average	1-split-DIFF	12	lemma-characterbert	0.5128205128205128	20	52	5	40
176	average	2-split-SAME	12	lemma-characterbert	0.6496350364963503	146	69	27	32
177	average	2-split-DIFF	12	lemma-characterbert	0.4782608695652174	12	42	6	32
178	average	0-split-dev-SAME	12	lemma-characterbert	0.6378205128205128	113	40	73	86
179	average	0-split-dev-DIFF	12	lemma-characterbert	0.592814371257485	26	49	19	73
180	average	1-split-bal	12	lemma-characterbert	0.6	14	31	5	40
181	average	2-split-bal	12	lemma-characterbert	0.6134020618556701	55	42	33	64
