	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
160	average	1-split-SAME	11	characterbert		[]	[]	[]	[]
161	average	1-split-DIFF	11	characterbert	0.5726495726495726	27	45	5	40
162	average	2-split-SAME	11	characterbert	0.6751824817518248	151	64	25	34
163	average	2-split-DIFF	11	characterbert	0.5760869565217391	21	33	6	32
164	average	0-split-dev-SAME	11	characterbert	0.6730769230769231	114	39	63	96
165	average	0-split-dev-DIFF	11	characterbert	0.6706586826347305	30	45	10	82
166	average	1-split-bal	11	characterbert	0.6666666666666666	20	25	5	40
167	average	2-split-bal	11	characterbert	0.6649484536082474	63	34	31	66
168	average	0-split-dev	12	characterbert	0.6450939457202505	142	86	84	167
169	average	1-split-all	12	characterbert	0.5128205128205128	18	54	3	42
170	average	2-split-all	12	characterbert	0.6338797814207651	167	102	32	65
171	average	ALL	12	characterbert	0.6439169139465876	1826	1207	953	2080
172	average	SAME	12	characterbert	0.6590337191746352	1591	464	891	1028
173	average	DIFF	12	characterbert	0.6152007648183556	235	743	62	1052
174	average	1-split-SAME	12	characterbert		[]	[]	[]	[]
175	average	1-split-DIFF	12	characterbert	0.5128205128205128	18	54	3	42
176	average	2-split-SAME	12	characterbert	0.6605839416058394	150	65	28	31
177	average	2-split-DIFF	12	characterbert	0.5543478260869565	17	37	4	34
178	average	0-split-dev-SAME	12	characterbert	0.6346153846153846	117	36	78	81
179	average	0-split-dev-DIFF	12	characterbert	0.6646706586826348	25	50	6	86
180	average	1-split-bal	12	characterbert	0.6333333333333333	15	30	3	42
181	average	2-split-bal	12	characterbert	0.6391752577319587	59	38	32	65
