	strategy	split-type	layer	model	accuracy	goldtrue_predicttrue	goldtrue_predictfalse	goldfalse_predicttrue	goldfalse_predictfalse
154	average	1-split-bal	11	bert	0.6444444444444445	24	21	11	34
155	average	2-split-bal	11	bert	0.5721649484536082	90	7	76	21
156	average	0-split-dev	12	bert	0.6576200417536534	150	78	86	165
157	average	1-split-all	12	bert	0.6581196581196581	40	32	8	37
158	average	2-split-all	12	bert	0.7185792349726776	246	23	80	17
159	average	ALL	12	bert	0.6806791955159908	1999	1034	903	2130
160	average	SAME	12	bert	0.6897332662304982	1610	445	788	1131
161	average	DIFF	12	bert	0.6634799235181644	389	589	115	999
162	average	1-split-DIFF	12	bert	0.6581196581196581	40	32	8	37
163	average	2-split-SAME	12	bert	0.7591240875912408	201	14	52	7
164	average	2-split-DIFF	12	bert	0.5978260869565217	45	9	28	10
165	average	0-split-dev-SAME	12	bert	0.6634615384615384	121	32	73	86
166	average	0-split-dev-DIFF	12	bert	0.6467065868263473	29	46	13	79
167	average	1-split-bal	12	bert	0.6666666666666666	23	22	8	37
168	average	2-split-bal	12	bert	0.5515463917525774	90	7	80	17
169	longest	0-split-dev	0	bert	0.5490605427974948	36	192	24	227
170	longest	1-split-all	0	bert	0.39316239316239315	6	66	5	40
171	longest	2-split-all	0	bert	0.40710382513661203	69	200	17	80
172	longest	ALL	0	bert	0.5313221233102539	562	2471	372	2661
173	longest	SAME	0	bert	0.5294413688978359	552	1503	367	1552
174	longest	DIFF	0	bert	0.5348948374760994	10	968	5	1109
175	longest	1-split-DIFF	0	bert	0.39316239316239315	6	66	5	40
176	longest	2-split-SAME	0	bert	0.3905109489051095	65	150	17	42
177	longest	2-split-DIFF	0	bert	0.45652173913043476	4	50	0	38
178	longest	0-split-dev-SAME	0	bert	0.5480769230769231	36	117	24	135
179	longest	0-split-dev-DIFF	0	bert	0.5508982035928144	0	75	0	92
180	longest	1-split-bal	0	bert	0.4666666666666667	2	43	5	40
181	longest	2-split-bal	0	bert	0.5412371134020618	25	72	17	80
182	longest	0-split-dev	1	bert	0.5365344467640919	136	92	130	121
183	longest	1-split-all	1	bert	0.5384615384615384	42	30	24	21
184	longest	2-split-all	1	bert	0.7103825136612022	232	37	69	28
185	longest	ALL	1	bert	0.5661061655126937	1895	1138	1494	1539
186	longest	SAME	1	bert	0.5775037745344741	1834	221	1458	461
187	longest	DIFF	1	bert	0.5444550669216062	61	917	36	1078
188	longest	1-split-DIFF	1	bert	0.5384615384615384	42	30	24	21
189	longest	2-split-SAME	1	bert	0.7846715328467153	214	1	58	1
190	longest	2-split-DIFF	1	bert	0.4891304347826087	18	36	11	27
191	longest	0-split-dev-SAME	1	bert	0.5288461538461539	136	17	130	29
192	longest	0-split-dev-DIFF	1	bert	0.5508982035928144	0	75	0	92
